#KD,SSR
1e-13,0.7843
1.2e-13,0.8029
1.4e-13,0.7893
1.6e-13,0.8106
1.8e-13,0.7833
2e-13,0.8096
2.2e-13,0.8837
2.4e-13,0.772
2.6e-13,0.7945
2.8e-13,0.794
3e-13,0.7739
3.2e-13,0.737
3.4e-13,0.7556
3.6e-13,0.7715
3.8e-13,0.7728
4e-13,0.7346
4.2e-13,0.741
4.4e-13,0.7609
4.6e-13,0.7524
4.8e-13,0.7251
5e-13,0.7314
5.2e-13,0.742
5.4e-13,0.7588
5.6e-13,0.7337
5.8e-13,0.7546
6e-13,0.7496
6.2e-13,0.7598
6.4e-13,0.733
6.6e-13,0.7391
6.8e-13,0.7566
7e-13,0.7442
7.2e-13,0.7312
7.4e-13,0.7445
7.6e-13,0.7421
7.8e-13,0.7613
8e-13,0.7172
8.2e-13,0.7284
8.4e-13,0.7424
8.6e-13,0.7179
8.8e-13,0.8106
9e-13,0.7239
9.2e-13,0.7705
9.4e-13,0.7292
9.6e-13,0.7368
9.8e-13,0.7349
1e-12,0.7478
1.2e-12,0.6975
1.4e-12,0.7238
1.6e-12,0.7618
1.8e-12,0.7457
2e-12,0.7044
2.2e-12,0.686
2.4e-12,0.6956
2.6e-12,0.7016
2.8e-12,0.7826
3e-12,0.6804
3.2e-12,0.7089
3.4e-12,0.6894
3.6e-12,0.7139
3.8e-12,0.7076
4e-12,0.6764
4.2e-12,0.6888
4.4e-12,0.7328
4.6e-12,0.6735
4.8e-12,0.7103
5e-12,0.7117
5.2e-12,0.701
5.4e-12,0.6942
5.6e-12,0.7015
5.8e-12,0.6639
6e-12,0.6853
6.2e-12,0.6444
6.4e-12,0.7041
6.6e-12,0.7741
6.8e-12,0.6552
7e-12,0.6963
7.2e-12,0.6906
7.4e-12,0.661
7.6e-12,0.6181
7.8e-12,0.6158
8e-12,0.6326
8.2e-12,0.6389
8.4e-12,0.673
8.6e-12,0.642
8.8e-12,0.62
9e-12,0.6211
9.2e-12,0.6246
9.4e-12,0.6414
9.6e-12,0.6232
9.8e-12,0.6369
1e-11,0.6029
1.2e-11,0.6068
1.4e-11,0.5899
1.6e-11,0.6166
1.8e-11,0.6182
2e-11,0.5879
