#Pfluor,Pbg,SSR
0.5,0,1.4327
0.5,0.02,1.4707
0.5,0.04,1.4305
0.5,0.06,1.3103
0.5,0.08,1.2248
0.5,0.1,1.2563
0.5,0.12,1.3943
0.5,0.14,1.176
0.5,0.16,1.0605
0.5,0.18,1.0321
0.5,0.2,1.0501
0.5,0.22,1.0289
0.5,0.24,1.0412
0.5,0.26,1.172
0.5,0.28,1.1359
0.5,0.3,1.0501
0.52,0,1.2839
0.52,0.02,1.2868
0.52,0.04,1.3237
0.52,0.06,1.1158
0.52,0.08,1.202
0.52,0.1,1.1858
0.52,0.12,1.063
0.52,0.14,1.1633
0.52,0.16,0.9699
0.52,0.18,1.0254
0.52,0.2,0.9641
0.52,0.22,0.9594
0.52,0.24,1.0465
0.52,0.26,1.0706
0.52,0.28,1.0327
0.52,0.3,1.0256
0.54,0,1.1486
0.54,0.02,1.12
0.54,0.04,0.952
0.54,0.06,0.9776
0.54,0.08,0.9016
0.54,0.1,1.1377
0.54,0.12,1.0052
0.54,0.14,0.9799
0.54,0.16,0.8632
0.54,0.18,0.9594
0.54,0.2,0.8977
0.54,0.22,0.8357
0.54,0.24,0.8725
0.54,0.26,0.7969
0.54,0.28,0.8666
0.54,0.3,0.9374
0.56,0,0.9643
0.56,0.02,0.9835
0.56,0.04,0.8174
0.56,0.06,0.8888
0.56,0.08,0.8921
0.56,0.1,0.8425
0.56,0.12,0.961
0.56,0.14,0.7822
0.56,0.16,0.8566
0.56,0.18,0.663
0.56,0.2,0.7913
0.56,0.22,0.8536
0.56,0.24,0.8194
0.56,0.26,0.838
0.56,0.28,0.8429
0.56,0.3,0.7703
0.58,0,0.8389
0.58,0.02,0.8649
0.58,0.04,0.7473
0.58,0.06,0.7181
0.58,0.08,0.7067
0.58,0.1,0.7577
0.58,0.12,0.8031
0.58,0.14,0.6869
0.58,0.16,0.7431
0.58,0.18,0.7158
0.58,0.2,0.707
0.58,0.22,0.6672
0.58,0.24,0.6841
0.58,0.26,0.7512
0.58,0.28,0.7711
0.58,0.3,0.7202
0.6,0,0.7375
0.6,0.02,0.652
0.6,0.04,0.6546
0.6,0.06,0.7027
0.6,0.08,0.6556
0.6,0.1,0.6671
0.6,0.12,0.718
0.6,0.14,0.6549
0.6,0.16,0.6045
0.6,0.18,0.5785
0.6,0.2,0.6799
0.6,0.22,0.6752
0.6,0.24,0.5937
0.6,0.26,0.6223
0.6,0.28,0.6449
0.6,0.3,0.6527
0.62,0,0.6371
0.62,0.02,0.6005
0.62,0.04,0.5692
0.62,0.06,0.5299
0.62,0.08,0.6
0.62,0.1,0.6304
0.62,0.12,0.5322
0.62,0.14,0.5746
0.62,0.16,0.5391
0.62,0.18,0.5436
0.62,0.2,0.5951
0.62,0.22,0.6129
0.62,0.24,0.6148
0.62,0.26,0.5882
0.62,0.28,0.6048
0.62,0.3,0.6175
0.64,0,0.6245
0.64,0.02,0.5094
0.64,0.04,0.5253
0.64,0.06,0.4817
0.64,0.08,0.5035
0.64,0.1,0.4889
0.64,0.12,0.4714
0.64,0.14,0.513
0.64,0.16,0.4929
0.64,0.18,0.4856
0.64,0.2,0.5492
0.64,0.22,0.5626
0.64,0.24,0.5755
0.64,0.26,0.5555
0.64,0.28,0.5625
0.64,0.3,0.5687
0.66,0,0.5703
0.66,0.02,0.5012
0.66,0.04,0.4367
0.66,0.06,0.4022
0.66,0.08,0.446
0.66,0.1,0.4432
0.66,0.12,0.4452
0.66,0.14,0.469
0.66,0.16,0.4551
0.66,0.18,0.4603
0.66,0.2,0.5201
0.66,0.22,0.4999
0.66,0.24,0.5448
0.66,0.26,0.5339
0.66,0.28,0.5291
0.66,0.3,0.5267
0.68,0,0.6075
0.68,0.02,0.5127
0.68,0.04,0.4349
0.68,0.06,0.3978
0.68,0.08,0.4284
0.68,0.1,0.3968
0.68,0.12,0.3835
0.68,0.14,0.4289
0.68,0.16,0.4039
0.68,0.18,0.4518
0.68,0.2,0.5064
0.68,0.22,0.5106
0.68,0.24,0.4658
0.68,0.26,0.4855
0.68,0.28,0.5024
0.68,0.3,0.4787
0.7,0,0.6279
0.7,0.02,0.5548
0.7,0.04,0.476
0.7,0.06,0.4219
0.7,0.08,0.3921
0.7,0.1,0.3839
0.7,0.12,0.3753
0.7,0.14,0.4226
0.7,0.16,0.414
0.7,0.18,0.4512
0.7,0.2,0.422
0.7,0.22,0.4283
0.7,0.24,0.5038
0.7,0.26,0.4959
0.7,0.28,0.5235
0.7,0.3,0.5494
0.72,0,0.9024
0.72,0.02,0.5455
0.72,0.04,0.4648
0.72,0.06,0.4263
0.72,0.08,0.3805
0.72,0.1,0.3494
0.72,0.12,0.3715
0.72,0.14,0.4109
0.72,0.16,0.403
0.72,0.18,0.4306
0.72,0.2,0.4459
0.72,0.22,0.4893
0.72,0.24,0.5315
0.72,0.26,0.5712
0.72,0.28,0.5239
0.72,0.3,0.5305
0.74,0,0.8482
0.74,0.02,0.6737
0.74,0.04,0.5304
0.74,0.06,0.4904
0.74,0.08,0.3828
0.74,0.1,0.3938
0.74,0.12,0.3815
0.74,0.14,0.4045
0.74,0.16,0.4094
0.74,0.18,0.4052
0.74,0.2,0.4731
0.74,0.22,0.4839
0.74,0.24,0.5213
0.74,0.26,0.5557
0.74,0.28,0.5574
0.74,0.3,0.5205
0.76,0,1.1759
0.76,0.02,0.7949
0.76,0.04,0.6585
0.76,0.06,0.5686
0.76,0.08,0.4603
0.76,0.1,0.4355
0.76,0.12,0.4346
0.76,0.14,0.4229
0.76,0.16,0.4444
0.76,0.18,0.4451
0.76,0.2,0.4776
0.76,0.22,0.499
0.76,0.24,0.5198
0.76,0.26,0.5931
0.76,0.28,0.5369
0.76,0.3,0.5822
0.78,0,1.2491
0.78,0.02,0.9559
0.78,0.04,0.7924
0.78,0.06,0.6916
0.78,0.08,0.5297
0.78,0.1,0.4793
0.78,0.12,0.468
0.78,0.14,0.4519
0.78,0.16,0.4637
0.78,0.18,0.4986
0.78,0.2,0.5457
0.78,0.22,0.6039
0.78,0.24,0.6585
0.78,0.26,0.5858
0.78,0.28,0.6596
0.78,0.3,0.7082
0.8,0,1.6004
0.8,0.02,1.1774
0.8,0.04,0.9293
0.8,0.06,0.7515
0.8,0.08,0.6567
0.8,0.1,0.5876
0.8,0.12,0.554
0.8,0.14,0.5076
0.8,0.16,0.5544
0.8,0.18,0.6079
0.8,0.2,0.5731
0.8,0.22,0.6152
0.8,0.24,0.6601
0.8,0.26,0.7025
0.8,0.28,0.6726
0.8,0.3,0.7167
0.82,0,1.8232
0.82,0.02,1.4611
0.82,0.04,1.1795
0.82,0.06,0.9545
0.82,0.08,0.799
0.82,0.1,0.6925
0.82,0.12,0.5863
0.82,0.14,0.5873
0.82,0.16,0.6465
0.82,0.18,0.6401
0.82,0.2,0.6893
0.82,0.22,0.6641
0.82,0.24,0.7386
0.82,0.26,0.7713
0.82,0.28,0.7643
0.82,0.3,0.8217
0.84,0,2.3179
0.84,0.02,1.8259
0.84,0.04,1.4399
0.84,0.06,1.1623
